student_id,gender,archetype,Algorithm_&_Program_Design_Minor1,Algorithm_&_Program_Design_Minor2,Algorithm_&_Program_Design_EndSem,Database_Management_Systems_Minor1,Database_Management_Systems_Minor2,Database_Management_Systems_EndSem,Programming_with_Java_Minor1,Programming_with_Java_Minor2,Programming_with_Java_EndSem,Digital_Logic_&_Computer_Architecture_Minor1,Digital_Logic_&_Computer_Architecture_Minor2,Digital_Logic_&_Computer_Architecture_EndSem,Software_Engineering_Minor1,Software_Engineering_Minor2,Software_Engineering_EndSem,Theoretical_Computer_Science_Minor1,Theoretical_Computer_Science_Minor2,Theoretical_Computer_Science_EndSem,Advanced_Data_Structures_Minor1,Advanced_Data_Structures_Minor2,Advanced_Data_Structures_EndSem,Data_Communication_&_Networks_Minor1,Data_Communication_&_Networks_Minor2,Data_Communication_&_Networks_EndSem,Operating_Systems_&_Shell_Programming_Minor1,Operating_Systems_&_Shell_Programming_Minor2,Operating_Systems_&_Shell_Programming_EndSem,AI_&_ML_Minor1,AI_&_ML_Minor2,AI_&_ML_EndSem,Software_Testing_&_QA_Minor1,Software_Testing_&_QA_Minor2,Software_Testing_&_QA_EndSem,Analysis_&_Design_of_Algorithms_Minor1,Analysis_&_Design_of_Algorithms_Minor2,Analysis_&_Design_of_Algorithms_EndSem,Data_Mining_&_Warehousing_Minor1,Data_Mining_&_Warehousing_Minor2,Data_Mining_&_Warehousing_EndSem,Information_&_Cybersecurity_Minor1,Information_&_Cybersecurity_Minor2,Information_&_Cybersecurity_EndSem,Cloud_Computing_Minor1,Cloud_Computing_Minor2,Cloud_Computing_EndSem,Algorithm_&_Program_Design_IsWeak,Database_Management_Systems_IsWeak,Programming_with_Java_IsWeak,Digital_Logic_&_Computer_Architecture_IsWeak,Software_Engineering_IsWeak,Theoretical_Computer_Science_IsWeak,Advanced_Data_Structures_IsWeak,Data_Communication_&_Networks_IsWeak,Operating_Systems_&_Shell_Programming_IsWeak,AI_&_ML_IsWeak,Software_Testing_&_QA_IsWeak,Analysis_&_Design_of_Algorithms_IsWeak,Data_Mining_&_Warehousing_IsWeak,Information_&_Cybersecurity_IsWeak,Cloud_Computing_IsWeak
MCA23_0001,Male,specializedai,0,0,0,20,16,52,9,12,35,13,14,41,18,20,20,15,12,38,16,19,55,18,17,59,11,13,40,18,16,55,0,0,0,0,0,0,0,0,0,0,0,0,15,14,56,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
MCA23_0002,Male,average,0,0,0,9,12,43,16,12,38,0,0,0,0,0,0,0,0,0,19,13,55,0,0,0,11,14,20,12,15,54,0,0,0,16,15,34,15,14,49,0,0,0,7,15,42,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
MCA23_0003,Male,average,12,15,39,12,19,50,5,19,60,17,13,33,15,11,43,12,18,36,11,15,59,13,12,48,15,10,34,0,0,0,14,17,31,15,20,43,0,0,0,0,0,0,12,14,49,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
MCA23_0004,Male,specializedai,0,0,0,17,14,59,18,15,49,9,14,26,9,17,37,17,16,60,18,14,55,17,18,56,12,13,47,17,18,60,11,10,34,15,14,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
MCA23_0005,Male,specializedai,9,12,35,18,14,57,10,17,39,15,12,44,19,11,38,11,20,35,17,15,55,17,16,56,0,0,0,17,17,60,9,20,28,13,12,31,18,18,54,5,12,41,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
MCA23_0006,Male,highachiever,0,0,0,16,15,50,18,16,49,18,16,58,0,0,0,0,0,0,0,0,0,18,15,52,19,17,58,0,0,0,0,0,0,17,17,49,0,0,0,19,17,57,18,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0007,Male,average,0,0,0,0,0,0,0,0,0,9,10,28,0,0,0,0,0,0,15,16,28,16,11,20,0,0,0,0,0,0,0,0,0,8,11,30,18,11,38,10,12,32,14,9,26,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1
MCA23_0008,Female,forced_weak,3,4,17,0,0,0,4,5,22,0,2,18,4,5,23,0,0,0,0,0,25,8,9,11,0,0,0,5,9,21,8,8,21,1,4,34,0,0,0,0,9,28,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0009,Male,struggling,12,2,33,0,0,0,9,5,25,0,0,0,0,0,0,6,11,35,0,0,0,4,4,20,12,5,13,7,6,22,9,6,27,4,11,23,8,3,25,8,2,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0010,Male,average,7,17,59,7,16,33,0,0,0,13,10,42,12,13,30,10,17,45,0,0,0,6,16,33,15,10,21,0,0,0,0,0,0,12,9,33,13,10,36,17,11,48,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
MCA23_0011,Male,specializedai,0,0,0,17,18,56,16,7,34,20,16,42,15,20,59,6,9,23,17,17,56,0,0,0,0,0,0,17,18,60,0,0,0,9,20,39,18,15,52,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
MCA23_0012,Male,highachiever,16,19,57,0,0,0,0,0,0,0,0,0,18,20,57,15,15,60,0,0,0,16,17,60,15,14,52,15,15,53,15,17,53,19,14,47,18,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
